"filename", "language", "HTTP", "JavaScript", "Pug", "JSON", "Markdown", "CSS", "comment", "blank", "total"
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\apiAgencyTest.http", "HTTP", 42, 0, 0, 0, 0, 0, 5, 13, 60
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\apiCloudTest.http", "HTTP", 64, 0, 0, 0, 0, 0, 13, 35, 112
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\apiLocalTest.http", "HTTP", 287, 0, 0, 0, 0, 0, 41, 114, 442
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\apiOrderTest.http", "HTTP", 95, 0, 0, 0, 0, 0, 9, 27, 131
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\apiShipmentTest.http", "HTTP", 121, 0, 0, 0, 0, 0, 26, 49, 196
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\apiTest.http", "HTTP", 81, 0, 0, 0, 0, 0, 13, 30, 124
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\businessTest.http", "HTTP", 54, 0, 0, 0, 0, 0, 5, 15, 74
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\ordersTest.http", "HTTP", 30, 0, 0, 0, 0, 0, 4, 14, 48
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\partnerStaffsTest.http", "HTTP", 42, 0, 0, 0, 0, 0, 9, 25, 76
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\partnerTest.http", "HTTP", 175, 0, 0, 0, 0, 0, 12, 25, 212
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\scheduleTest.http", "HTTP", 20, 0, 0, 0, 0, 0, 3, 9, 32
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\shipmentTest.http", "HTTP", 124, 0, 0, 0, 0, 0, 28, 58, 210
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\shippersTest.http", "HTTP", 21, 0, 0, 0, 0, 0, 3, 12, 36
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\staffsTest.http", "HTTP", 344, 0, 0, 0, 0, 0, 36, 106, 486
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\usersTest.http", "HTTP", 13, 0, 0, 0, 0, 0, 2, 6, 21
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\tests\vehiclesTest.http", "HTTP", 95, 0, 0, 0, 0, 0, 17, 38, 150
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\utils.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 10, 59
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\views\error.jade", "Pug", 0, 0, 5, 0, 0, 0, 0, 2, 7
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\views\feeDebugger.jade", "Pug", 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\views\index.jade", "Pug", 0, 0, 4, 0, 0, 0, 0, 2, 6
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\views\layout.jade", "Pug", 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\views\order.jade", "Pug", 0, 0, 71, 0, 0, 0, 0, 22, 93
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\views\staff.jade", "Pug", 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\views\staffLogin.jade", "Pug", 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\views\userLogin.jade", "Pug", 0, 0, 9, 0, 0, 0, 0, 1, 10
"Total", "-", 1661, 12581, 124, 8805, 2, 7, 427, 2995, 26602
